version,run,time_ms,method,benchmark,command,host
2.093.1,1,1278,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,2,1100,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,3,1099,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,4,1130,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,5,1149,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,6,1142,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,7,1120,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,8,1136,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,9,1701,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,10,1065,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,11,1149,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,12,1103,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,13,1135,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,14,1100,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,15,1125,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,16,1115,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
2.093.1,17,1117,paired-alternating,benchmark.d,arch -x86_64 dmd benchmark.d -O -c,MacBook-Air-Apple-M4-macOS-arm64
